#Galaxy, Noise, stdev, background
NGC0628 , 0.28620503482900855 , 0.25949429852193656 , 0.12073123455047607
NGC1087 , 0.20789525937511308 , 0.20462361510584381 , 0.0367371067404747
NGC1300 , 0.18296355384965735 , 0.1654489912691359 , 0.07811717689037323
NGC1365 , 0.30613424463566563 , 0.2108817486995721 , 0.2219167947769165
NGC1433 , 0.21115355264540617 , 0.20548123101960608 , 0.048613645136356354
NGC1512 , 0.18909792674833242 , 0.16855135437677912 , 0.08572319895029068
NGC1566 , 0.22193545796995887 , 0.17279233520173048 , 0.13927726447582245
NGC1672 , 0.2562718501991956 , 0.21146250637989514 , 0.1447717845439911
NGC2835 , 0.19552491592455312 , 0.1871550538160123 , 0.056594863533973694
NGC2997 , 0.266001826149638 , 0.13927748569700038 , 0.22662469744682312
NGC3351 , 0.4738429412867939 , 0.4454527123655399 , 0.16155189275741577
NGC3627 , 0.38390580577210803 , 0.3505615374966845 , 0.15649369359016418
NGC4254 , 0.4326334239941551 , 0.4226405915290179 , 0.09244787693023682
NGC4293 , 0.2997818850515639 , 0.26697095347665817 , 0.13636600971221924
NGC4298 , 0.25601844462566214 , 0.2358419510196589 , 0.09961936622858047
NGC4303 , 0.31964397713884496 , 0.30553604170404713 , 0.09391485154628754
NGC4321 , 0.43831669810006846 , 0.3939348436226256 , 0.19218966364860535
NGC4496A , 0.35156612949365984 , 0.34744548931596986 , 0.05366912856698036
NGC4540 , 0.1903911303870423 , 0.18937390124200526 , 0.01965472102165222
NGC4569 , 0.4159069094613192 , 0.3589995915408425 , 0.20999488234519958
NGC4571 , 0.17217456512958673 , 0.16504909502357928 , 0.04901915043592453
NGC6744 , 0.503815650875159 , 0.162896283291439 , 0.47675466537475586
