Galaxy,Distance,Gal_ra,Gal_dec,Pos_ang,Incl,r_eff,MUSE_nat_res,MUSE_phys_res,maps_musedap,maps_nat,maps_15asec,maps_150,maps_1kpc,maps_HII,maps_irac,maps_CO21,maps_eCO21,maps_ext,maps_vdisp,maps_HST,JWST200,JWST300,JWST335,JWST360,JWST770,JWST1000,JWST1130,JWST2100
IC5332,9.01,353.61453,-36.10108,74.4,26.9,82.595436,0.87,45,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/IC5332-0.87asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/IC5332_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/IC5332_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/IC5332_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/IC5332_sfr_1kpc.fits,../Data/HII_reg_masks/IC5332_nebulae_mask_V2.fits,../Data/IRAC/ic5332_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ic5332_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ic5332_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/IC5332_MAPS_sfr.fits,../Data/vdisp/ic5332_vdisp.fits,../../GalaxyFiles/HST/ic5332_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ic5332_F2100W_atGauss7p5_anchored.fits
NGC0628,9.84,24.173855,15.783643,20.7,8.9,81.80733,0.92,71,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC0628-0.92asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC0628_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC0628_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC0628_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC0628_sfr_1kpc.fits,../Data/HII_reg_masks/NGC0628_nebulae_mask_V2.fits,../Data/IRAC/ngc0628_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc0628_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc0628_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC0628_MAPS_sfr.fits,../Data/vdisp/ngc0628_vdisp.fits,../../GalaxyFiles/HST/ngc0628_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc0628_F2100W_atGauss7p5_anchored.fits
NGC1087,15.85,41.60492,-0.498717,359.1,42.9,42.091877,0.92,84,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1087-0.92asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1087_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1087_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1087_nebulae_mask_V2.fits,../Data/IRAC/ngc1087_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1087_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1087_MAPS_sfr.fits,../Data/vdisp/ngc1087_vdisp.fits,../../GalaxyFiles/HST/ngc1087_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1087_F2100W_atGauss7p5_anchored.fits
NGC1300,18.99,49.920815,-19.411114,278.0,31.8,70.87826,0.89,83,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1300-0.89asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1300_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1300_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1300_nebulae_mask_V2.fits,../Data/IRAC/ngc1300_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1300_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1300_MAPS_sfr.fits,../Data/vdisp/ngc1300_vdisp.fits,../../GalaxyFiles/HST/ngc1300_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1300_F2100W_atGauss7p5_anchored.fits
NGC1365,19.57,53.40152,-36.140404,201.1,55.4,29.30388,1.15,76,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1365-1.15asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1365_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1365_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1365_nebulae_mask_V2.fits,../Data/IRAC/ngc1365_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1365_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1365_MAPS_sfr.fits,../Data/vdisp/ngc1365_vdisp.fits,../../GalaxyFiles/HST/ngc1365_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1365_F2100W_atGauss7p5_anchored.fits
NGC1385,17.22,54.369015,-24.501162,181.3,44.0,40.401688,0.77,33,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1385-0.77asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1385_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1385_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1385_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1385_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1385_nebulae_mask_V2.fits,../Data/IRAC/ngc1385_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1385_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1385_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1385_MAPS_sfr.fits,../Data/vdisp/ngc1385_vdisp.fits,../../GalaxyFiles/HST/ngc1385_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1385_F2100W_atGauss7p5_anchored.fits
NGC1433,18.63,55.506195,-47.221943,199.7,28.6,47.65179,0.91,69,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1433-0.91asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1433_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1433_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1433_nebulae_mask_V2.fits,../Data/IRAC/ngc1433_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1433_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1433_MAPS_sfr.fits,../Data/vdisp/ngc1433_vdisp.fits,../../GalaxyFiles/HST/ngc1433_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1433_F2100W_atGauss7p5_anchored.fits
NGC1512,18.83,60.975574,-43.348724,261.9,42.5,52.125713,1.25,96,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1512-1.25asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1512_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1512_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1512_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1512_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1512_nebulae_mask_V2.fits,../Data/IRAC/ngc1512_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1512_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1512_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1512_MAPS_sfr.fits,../Data/vdisp/ngc1512_vdisp.fits,../../GalaxyFiles/HST/ngc1512_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1512_F2100W_atGauss7p5_anchored.fits
NGC1566,17.69,65.00159,-54.93801,214.7,29.5,36.968307,0.80,80,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1566-0.80asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1566_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1566_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1566_nebulae_mask_V2.fits,../Data/IRAC/ngc1566_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1566_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1566_MAPS_sfr.fits,../Data/vdisp/ngc1566_vdisp.fits,../../GalaxyFiles/HST/ngc1566_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1566_F2100W_atGauss7p5_anchored.fits
NGC1672,19.4,71.42704,-59.247257,134.3,42.6,36.080307,0.96,104,../../GalaxyFiles/MUSELargeFiles/MUSE2.2_Nat/NGC1672-0.96asec_MAPS.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/15asec/NGC1672_sfr.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr_150pc.fits,../../GalaxyFiles/MUSELargeFiles/SFR/copt/NGC1672_sfr_1kpc.fits,../Data/HII_reg_masks/NGC1672_nebulae_mask_V2.fits,../Data/IRAC/ngc1672_irac1_atGauss4.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_150pc_broad_mom0.fits,../../GalaxyFiles/ALMACO2-1/ngc1672_12m+7m+tp_co21_150pc_broad_emom0.fits,../Data/SFR_v1/NGC1672_MAPS_sfr.fits,../Data/vdisp/ngc1672_vdisp.fits,../../GalaxyFiles/HST/ngc1672_hst_ha.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F200W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F300W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F330W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F365W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F770W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F1000W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F1130W_atGauss7p5_anchored.fits,../../GalaxyFiles/JWSTLargeFiles/Anchored_8.0_Gauss7.5/ngc1672_F2100W_atGauss7p5_anchored.fits
