Galaxy,telOrient,fineRes,ALMA,MUSE,HST,JWST
circinus,7m+tp,,Yes,,,
IC1954,12m+7m+tp,,,,,
IC5273,12m+7m+tp,,,,,
IC5332,12m+7m+tp,,,,,
NGC0247,7m+tp,,,,,
NGC0253,7m+tp,,Yes,,,
NGC0300,7m+tp,,,,,
NGC0628,12m+7m+tp,60,Yes,,,Yes
NGC0685,12m+7m+tp,,,,,
NGC1068,7m+tp,,Yes,,,
NGC1087,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC1097,12m+7m+tp,,Yes,,,
NGC1300,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC1317,12m+7m+tp,,,,,
NGC1365,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC1385,12m+7m+tp,,,,,
NGC1433,12m+7m+tp,90,Yes,Yes,Yes,Yes
NGC1511,12m+7m+tp,,Yes,,,
NGC1512,12m+7m+tp,,,,,
NGC1546,12m+7m+tp,,,,,
NGC1559,12m+7m+tp,,Yes,,,
NGC1566,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC1637,12m+7m+tp,,Yes,,,
NGC1672,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC1792,12m+7m+tp,,,,,
NGC1809,12m+7m+tp,,,,,
NGC2090,12m+7m+tp,,,,,
NGC2283,12m+7m+tp,,,,,
NGC2566,12m+7m+tp,,,,,
NGC2775,12m+7m+tp,,Yes,,,
NGC2835,12m+7m+tp,,,,,
NGC2903,12m+7m+tp,,,,,
NGC2997,12m+7m+tp,,Yes,,,
NGC3059,12m+7m+tp,,,,,
NGC3137,12m+7m+tp,,,,,
NGC3239,12m+7m+tp,,Yes,,,
NGC3351,12m+7m+tp,,,,,
NGC3489,12m+7m+tp,,,,,
NGC3507,12m+7m+tp,,,,,
NGC3511,12m+7m+tp,,,,,
NGC3521,12m+7m+tp,,,,,
NGC3596,12m+7m+tp,,,,,
NGC3599,12m+7m+tp,,,,,
NGC3621,12m+7m+tp,,,,,
NGC3626,12m+7m+tp,,,,,
NGC3627,12m+7m+tp,90,Yes,Yes,Yes,Yes
NGC4207,12m+7m+tp,,,,,
NGC4254,12m+7m+tp,150,Yes,Yes,Yes,
NGC4293,12m+7m+tp,,,,,
NGC4298,12m+7m+tp,,,,,
NGC4303,12m+7m+tp,150,Yes,Yes,Yes,Yes
NGC4321,12m+7m+tp,120,Yes,Yes,Yes,Yes
NGC4424,12m+7m+tp,,Yes,,,
NGC4457,12m+7m+tp,,Yes,,,
NGC4459,12m+7m+tp,,,,,
NGC4476,12m+7m+tp,,,,,
NGC4477,12m+7m+tp,,,,,
NGC4496a,12m+7m+tp,,Yes,,,
NGC4535,12m+7m+tp,,,,,
NGC4536,12m+7m+tp,,Yes,,,
NGC4540,12m+7m+tp,,,,,
NGC4548,12m+7m+tp,,,,,
NGC4569,12m+7m+tp,,,,,
NGC4571,12m+7m+tp,,,,,
NGC4579,12m+7m+tp,,Yes,,,
NGC4596,12m+7m+tp,,,,,
NGC4654,12m+7m+tp,,,,,
NGC4689,12m+7m+tp,,,,,
NGC4694,12m+7m+tp,,,,,
NGC4731,12m+7m+tp,,,,,
NGC4781,12m+7m+tp,,,,,
NGC4826,12m+7m+tp,,,,,
NGC4941,12m+7m+tp,,,,,
NGC4945,7m+tp,,Yes,,,
NGC4951,12m+7m+tp,,,,,
NGC5042,12m+7m+tp,,,,,
NGC5068,12m+7m+tp,,,,,
NGC5128,7m+tp,,Yes,,,
NGC5134,12m+7m+tp,,,,,
NGC5236,12m+7m+tp,,Yes,,,
NGC5248,12m+7m+tp,,,,,
NGC5530,12m+7m+tp,,Yes,,,
NGC5643,12m+7m+tp,,,,,
NGC6300,12m+7m+tp,,,,,
NGC6744,12m+7m+tp,,Yes,,,
NGC7456,12m+7m+tp,,,,,
NGC7496,12m+7m+tp,,,,,
NGC7743,12m+7m+tp,,,,,
NGC7793,7m+tp,,Yes,,,
