Galaxy,Supernova,Type,SN_ra,SN_dec,In_Sample
NGC0628,SN2013ej,II,24.200666666666667,15.758611111111112,False
NGC0628,SN2019krl,IIn/LBV,24.2067875,15.77946388888889,False
NGC1087,SN1995V,II,41.61152777777777,-0.4987861111111111,True
NGC1300,SN2022acko,II,49.91245833333333,-19.39518888888889,True
NGC1365,SN1957C,Unclassified,53.38349999999999,-36.11770833333333,True
NGC1365,SN1983V,Ic,53.381876388888884,-36.14859166666667,True
NGC1365,SN2001du,II,53.3713125,-36.142111111111106,True
NGC1365,SN2012fr,Ia,53.40057916666666,-36.12676944444445,True
NGC1433,SN1985P,II,55.52640625,-47.209987222222225,True
NGC1566,ASASSN-14ha,II,65.0058875,-54.93807777777778,True
NGC1566,SN2010el,Ia-02cx,64.99512499999999,-54.94402777777778,True
NGC1566,SN2021aefx,Ia,64.9725,-54.94808055555555,True
NGC1672,SN2017gax,Ib/c,71.45607916666667,-59.24512777777778,True
NGC1672,SN2022aau,II,71.423975,-59.245383333333336,True
NGC3627,SN1973R,II,170.04809375,12.997739999999999,True
NGC3627,SN1989B,Ia,170.05796666666666,13.005307777777778,True
NGC3627,SN1997bs,IIn,170.0592513888889,12.972107407407407,True
NGC3627,SN2009hd,II,170.07072916666667,12.979569444444444,True
NGC3627,SN2016cok,II P,170.07957933333336,12.98244948888889,True
NGC4254,SN1967H,II,184.71836111111114,14.41404861111111,True
NGC4254,SN1972Q,II,184.71066666666667,14.44432638888889,True
NGC4254,SN1986I,II,184.71690625,14.412266111111112,True
NGC4254,SN2014L,Ic,184.70291666666668,14.412069444444445,True
NGC4303,SN1926A,II,185.47536458333335,4.493354166666666,True
NGC4303,SN1961I,II,185.50184583333336,4.47037962962963,True
NGC4303,SN1964F,II,185.4698125,4.473770833333334,True
NGC4303,SN1999gn,II P,185.48760972222217,4.462676851851852,True
NGC4303,SN2006ov,II,185.48041875,4.487970833333334,True
NGC4303,SN2014dt,Ia Pec,185.48991666666666,4.471777777777778,True
NGC4303,SN2020jfo,II P,185.46016458333332,4.481692777777778,True
NGC4321,PTSS-19clju,Unclassified,185.73407,15.826055,False
NGC4321,SN1901B,I,185.6970833333333,15.82375,True
NGC4321,SN1959E,I,185.74543194444445,15.816989814814816,True
NGC4321,SN1979C,II,185.74422222222222,15.797765277777778,False
NGC4321,SN2006X,Ia,185.72488194444443,15.809006481481482,True
NGC4321,SN2019ehk,Ib,185.73393055555553,15.826070370370369,True
NGC4321,SN2020oi,Ic,185.72892708333336,15.8236125,True
