Supernova, Type, Int_native, Int_150, Int_1kpc
SN2013ej , II , nan , nan , nan
SN2019krl , IIn/LBV , 5.692852417108771e+38 , 0.7040593491199677 , 32.848532102709434
SN1995V , II , 8.839672735197591e+39 , 6.599152737568015 , 233.44810259200804
SN2022acko , II , 3.445745101042276e+38 , 0.5202362727946092 , 27.16511849663822
SN1957C , Unclassified , 2.938518960212585e+39 , 3.036159738259367 , 139.56371405345993
SN1983V , Ic , 1.4845660990817182e+40 , 5.695985005340352 , 36.1897186711662
SN2001du , II , 1.3530435354080875e+39 , 1.966051612106065 , 151.82605300718808
SN2012fr , Ia , 8.904660571183651e+37 , 0.12232870868427492 , 9.611120469109169
SN1985P , II , 2.4790371281538853e+38 , 0.30146212904454045 , 15.209142209655663
ASASSN-14ha , II , 6.206906305070956e+39 , 5.912910765532021 , 149.07327510508023
SN2010el , Ia-02cx , 3.8272402829093126e+38 , 0.6469953881302474 , 112.22076551189497
SN2021aefx , Ia , 1.263977781860364e+38 , 0.23220293881842746 , 12.683849008922754
SN2017gax , Ib/c , 4.185157273316843e+39 , 5.94440253509458 , 92.63588735906072
SN2022aau , II , 9.694817596411935e+40 , 29.76854206174491 , 1496.6770475235812
SN1973R , II , 1.1176985848142032e+40 , 12.6177617000017 , 285.51446132515605
SN1989B , Ia , 1.2565095465358724e+40 , 29.59348558375753 , 1593.134222822374
SN1997bs , IIn , 9.927623759273137e+38 , 1.6351211238792573 , 94.20393354071707
SN2009hd , II , 3.0814818947082474e+40 , 44.034270120179194 , 1152.0608244726861
SN2016cok , II P , 5.177867242845618e+39 , 8.086688738227535 , 325.57829499837794
SN1967H , II , 1.4346514342074687e+40 , 12.237770537017154 , 600.0755248366494
SN1972Q , II , 3.6180321930942297e+39 , 5.495111612504311 , 141.39255078898051
SN1986I , II , 5.1524628176390714e+39 , 14.68422181479275 , 528.1349423737906
SN2014L , Ic , 3.366146687872796e+40 , 40.20657216994114 , 680.477092612887
SN1926A , II , 8.237240338373292e+38 , 1.7137916507596849 , 121.43435581762041
SN1961I , II , 4.150635721869112e+39 , 6.2397444779131925 , 100.72224430268818
SN1964F , II , 2.9303903692530505e+38 , 0.5211430559124834 , 40.424266689655006
SN1999gn , II P , 1.2852723829328137e+40 , 29.1948466548326 , 505.9613687044162
SN2006ov , II , 3.314915130256522e+39 , 5.569325095908803 , 335.5058914667247
SN2014dt , Ia Pec , 8.951255433113478e+38 , 1.3953360457634276 , 186.94650937408946
SN2020jfo , II P , 2.199480578104416e+39 , 1.6024194752980703 , 82.58991575704295
PTSS-19clju , Unclassified , 9.699323259795197e+38 , 0.5747870821162969 , 46.80367192965921
SN1901B , I , 2.1120944464704693e+39 , 1.8626634319160764 , 142.5743077637517
SN1959E , I , 3.606657809150872e+39 , 3.25662016729916 , 250.7948362963465
SN1979C , II , nan , nan , nan
SN2006X , Ia , 3.664262269436105e+38 , 0.534793492997899 , 43.326322863496046
SN2019ehk , Ib , 1.0400343563277594e+39 , 0.6193577137788457 , 49.419701696492446
SN2020oi , Ic , 5.473226299514552e+40 , 49.78251306832529 , 1148.854740445107
