#Galaxy,Supernova,Type,Ra,Dec,MUSERes,MUSENatMap,MUSE150pcMap, MUSE150pcInt
NGC0628 , SN2013ej , II , 24.200666666666667 , 15.758611111111112 , 0.92 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC0628-150pc_MAPS.fits , nan
NGC0628 , SN2019krl , IIn/LBV , 24.2067875 , 15.77946388888889 , 0.92 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC0628-150pc_MAPS.fits , 88.1635392637121
NGC1087 , SN1995V , II , 41.61152777777777 , -0.4987861111111111 , 0.92 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1087-0.92asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1087-150pc_MAPS.fits , 2851.421676185079
NGC1300 , SN2022acko , II , 49.91245833333333 , -19.39518888888889 , 0.89 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1300-0.89asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1300-150pc_MAPS.fits , 291.17327796533147
NGC1365 , SN1957C , Unclassified , 53.38349999999999 , -36.11770833333333 , 1.15 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1365-150pc_MAPS.fits , 1864.5543905682587
NGC1365 , SN1983V , Ic , 53.381876388888884 , -36.14859166666667 , 1.15 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1365-150pc_MAPS.fits , 4412.194586792122
NGC1365 , SN2001du , II , 53.3713125 , -36.142111111111106 , 1.15 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1365-150pc_MAPS.fits , 1147.937890443259
NGC1365 , SN2012fr , Ia , 53.40057916666666 , -36.12676944444445 , 1.15 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1365-150pc_MAPS.fits , 73.60162009780304
NGC1433 , SN1985P , II , 55.52640625 , -47.209987222222225 , 0.91 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1433-0.91asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1433-150pc_MAPS.fits , 171.70688017559416
NGC1566 , ASASSN-14ha , II , 65.0058875 , -54.93807777777778 , 0.8 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1566-150pc_MAPS.fits , 3053.614935125523
NGC1566 , SN2010el , Ia-02cx , 64.99512499999999 , -54.94402777777778 , 0.8 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1566-150pc_MAPS.fits , 320.1414131766342
NGC1566 , SN2021aefx , Ia , 64.9725 , -54.94808055555555 , 0.8 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC1566-150pc_MAPS.fits , 117.0347673829065
