Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity,MUSE_xCoord,MUSE_yCoord,MUSE_Intensity,ESO-MPG_Hasub_wcomb_corr,MUSEResolution,MUSEmap,Removed,InMuseSample
NGC0628,SN2002ap,24.09937916666667,15.753669444444444,3577.4210468967017,2037.470947756881,Ic,-0.17532486,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,False,False
NGC0628,SN2019krl,24.2067875,15.77946388888889,2011.0536442066714,2428.5985142409477,IIn/LBV,2.2089531,137.18487193542887,680.6496794953687,447.33069091690675,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,True,False
NGC0628,SN2013ej,24.200670833333334,15.758611111111112,2100.1343887503876,2112.55973726534,II,0.09700711,243.11885674825174,305.29330284886476,nan,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,False,False
NGC0628,PS15blm,24.258708333333335,15.777000000000001,1253.8697326978763,2391.66186884759,Unclassified,6.3913784,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,False,False
NGC0628,M74SNRJ013642400+1544163,24.17666666666667,15.73786111111111,2450.13904696686,1798.00193904955,Unclassified,0.35310355,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,False,False
NGC0628,SN2003gd,24.17770833333333,15.739138888888888,2434.9505648694476,1817.369414243681,II,-0.12983386,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC0628_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC0628-0.92asec_MAPS.fits,False,False
NGC1087,SN1995V,41.61154166666667,-0.49878055555555556,648.5505421656521,748.0751125890881,II,5.0002465,182.8499455412301,450.8200411854245,2663.371834437333,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1087_Hasub_flux_corrs.fits,0.92,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1087-0.92asec_MAPS.fits,False,True
NGC1300,LSQ14dtr,49.96679166666666,-19.478694444444443,841.190251571016,472.6653386793862,Ia,-0.06859025,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1300_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1300-0.89asec_MAPS.fits,False,False
NGC1365,SN2001du,53.371249999999996,-36.142,3400.610028004022,3006.6009602140175,IIP,0.82873183,1182.399513237841,428.35378352364773,771.027273168136,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1365_Hasub_flux_corrs.fits,1.15,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits,False,True
NGC1365,SN1957C,53.38349999999999,-36.11770833333333,3250.4029666345923,3374.662468105187,Unclassified,2.834359,1004.4155369313344,865.6486483514018,1697.5272118916866,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1365_Hasub_flux_corrs.fits,1.15,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1365-1.15asec_MAPS.fits,False,True
