#Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity
NGC0628 , "SN2013ej" , 24.200666666666667 , 15.758611111111112 , 2100.1951571946192 , 2112.559714338542 , II , 0.09700711
NGC0628 , "SN2002ap" , 24.09940416666667 , 15.753649074074074 , 3577.0564594599123 , 2037.1622175556208 , Ic , -0.17532486
NGC0628 , "SN2003gd" , 24.17770555555555 , 15.738966666666665 , 2434.990386106029 , 1814.759548435055 , II , 0.55219537
NGC0628 , "PS15blm" , 24.258708333333335 , 15.777000000000001 , 1253.8697326978763 , 2391.66186884759 , unclassified , 6.3913784
NGC0628 , "SN2019krl" , 24.2067875 , 15.77946388888889 , 2011.0536442066714 , 2428.5985142409477 , IIn/LBV , 2.2089531
NGC1087 , "SN1995V" , 41.61152777777777 , -0.4987861111111111 , 648.7610232419815 , 747.9909198104285 , II , 5.0002465
NGC1300 , "LSQ14dtr" , 49.96679166666666 , -19.478694444444443 , 841.190251571016 , 472.6653386793862 , Ia , -0.06859025
NGC1365 , "SN2012fr" , 53.40057916666666 , -36.12676944444445 , 3041.428195030292 , 3237.1579264657776 , Ia , 0.36029622
NGC1365 , "SN2001du" , 53.3713125 , -36.142111111111106 , 3399.846121958709 , 3004.9164893583365 , II , 1.5359482
NGC1365 , "SN1983V" , 53.381876388888884 , -36.14859166666667 , 3270.6237389153885 , 2906.610095778981 , Ic , 9.090737
NGC1365 , "SN1957C" , 53.38349999999999 , -36.11770833333333 , 3250.4029666345923 , 3374.662468105187 , unclassified , 2.834359
NGC1433 , "SN1985P" , 55.52640625 , -47.209987222222225 , 1352.5400394712622 , 1741.4226110685222 , II , 0.4982906
NGC1512 , "SN2010iv" , 60.967625 , -43.42736111111111 , 2213.9430396249854 , 933.5173361718096 , Ia , -0.29800403
NGC1566 , "ASASSN-14ha" , 65.0058875 , -54.93807777777778 , 1784.358147614364 , 1820.201410151274 , II , 6.804637
NGC1566 , "SN2010el" , 64.99512499999999 , -54.94402777777778 , 1878.2016797593258 , 1730.1936145042084 , Ia-02cx , 1.4372302
NGC1566 , "Gaia21fml" , 64.9725 , -54.9481 , 2075.2200334502104 , 1668.7737200842032 , Ia , 0.17611548
NGC1566 , "SN2021aefx" , 64.97216666666667 , -54.94794444444444 , 2078.118081648168 , 1671.1349237036018 , Ia , 0.25474524
NGC1672 , "SN2017gax" , 71.45607916666667 , -59.24512777777778 , 1325.5313783823747 , 1582.5485238765305 , Ib/c , 3.7043326
NGC2997 , "SN2003jg" , 146.40863888888887 , -31.18906574074074 , 2623.262390462148 , 2615.5093772359564 , Ic , 6.9804115
NGC2997 , "SN2008eh" , 146.45066875 , -31.17913888888889 , 2078.3147131935048 , 2765.563302236052 , unclassified , 5.7194624
NGC3351 , "SN2012aw" , 160.97392395833333 , 11.671605555555555 , 2069.258312253355 , 1335.4669748412693 , II , 1.906409
NGC3627 , "SN1989B" , 170.05796666666666 , 13.005307777777778 , 2658.204081772782 , 2800.104247260491 , Ia , 10.167958
NGC3627 , "SN1997bs" , 170.0592513888889 , 12.972107407407407 , 2639.1356968117097 , 2296.8926223923463 , IIn , 0.56176686
NGC3627 , "SN2016cok" , 170.07957933333336 , 12.98244948888889 , 2338.933063641686 , 2453.716095459217 , II , 1.5813267
NGC3627 , "SN2009hd" , 170.07072916666667 , 12.979569444444444 , 2469.6348781647 , 2410.0302946169386 , II , 18.46779
NGC3627 , "SN1973R" , 170.04809375 , 12.997739999999999 , 2803.991407342808 , 2685.375485501077 , II , 5.696825
NGC3627 , "AT2020cwh" , 170.08333333333334 , 12.990277777777777 , 2283.522151515239 , 2572.384298028684 , Candidate , 1.3143904
NGC4254 , "SN2014L" , 184.70291666666668 , 14.412069444444445 , 1325.5059497720808 , 1202.988690669932 , Ic , 14.57876
NGC4254 , "SN1986I" , 184.71690625 , 14.412266111111112 , 1120.1514656688873 , 1206.0388438495024 , II , 2.8731003
NGC4254 , "SN1972Q" , 184.71066666666667 , 14.44432638888889 , 1211.9077300925737 , 1691.9176842311322 , II , 2.6499472
NGC4254 , "SN1967H" , 184.71836111111114 , 14.41404861111111 , 1098.8053468831708 , 1233.0626416018913 , II , 4.683056
NGC4293 , "CSS140424:122130+181827" , 185.37375 , 18.307583333333334 , 560.036113983268 , 436.3317315670049 , unclassified , 0.33938006
NGC4298 , "SN1986E" , 185.421771875 , 14.631968333333333 , 441.48675435213795 , 1349.9210369705856 , II , 1.2903631
NGC4303 , "SN2008in" , 185.50737708333335 , 4.479861111111111 , 1305.3668645022485 , 1828.3010316558198 , II , -0.030165413
NGC4303 , "SN2014dt" , 185.48991666666666 , 4.471777777777778 , 1569.1902311785852 , 1705.7597160581522 , Ia , 1.4960612
NGC4303 , "SN1999gn" , 185.48760972222217 , 4.462676851851852 , 1604.0388932877806 , 1567.8170657893593 , II , 16.408014
NGC4303 , "SN2006ov" , 185.48041875 , 4.487970833333334 , 1712.7247760933537 , 1951.1822546147441 , II , 3.713479
NGC4303 , "SN2020jfo" , 185.46016458333332 , 4.481692777777778 , 2018.7649994454446 , 1856.0107931633647 , II , 1.240527
NGC4303 , "SN1926A" , 185.47536458333335 , 4.493354166666666 , 1789.0989892241728 , 2032.7709223860497 , II , 1.4890964
NGC4303 , "AT2021ilb" , 185.47135 , 4.469083333333334 , 1849.7396508748284 , 1664.9015526849198 , Candidate , 3.892858
NGC4303 , "SN1961I" , 185.50184583333336 , 4.47037962962963 , 1388.932450764719 , 1684.5845631357997 , II , 5.416203
NGC4303 , "SN1964F" , 185.4698125 , 4.473770833333334 , 1872.9758347319894 , 1735.947240139135 , II , 0.684507
NGC4321 , "SN2006X" , 185.72488194444443 , 15.809006481481482 , 1593.6870431673428 , 1334.0665143351644 , Ia , -0.3192859
NGC4321 , "SN1979C" , 185.74422222222222 , 15.797765277777778 , 1311.6424623703506 , 1163.797662807318 , II , 2.3315406
NGC4321 , "SN2020oi" , 185.72892708333336 , 15.8236125 , 1534.761052997933 , 1555.416071038866 , Ic , 34.89857
NGC4321 , "SN2019ehk" , 185.73393055555553 , 15.826070370370369 , 1461.8231958410274 , 1592.6808703794022 , Ib , -0.12679927
NGC4321 , "SN1901B" , 185.6970833333333 , 15.82375 , 1999.025186668254 , 1557.4202813738416 , I , 0.9168733
NGC4321 , "PTSS-19clju" , 185.73407 , 15.826055 , 1459.7901352669974 , 1592.448502816314 , unclassified , 1.0584087
NGC4321 , "SN1914A" , 185.73604166666667 , 15.791805555555555 , 1430.900436475453 , 1073.4500876197974 , unclassified , 0.3225126
NGC4321 , "SN1959E" , 185.74543194444445 , 15.816989814814816 , 1294.09699704579 , 1455.1265143720866 , I , 1.8478534
NGC4496A , "SN1960F" , 187.92522222222223 , 3.9466111111111113 , 673.0408874171619 , 956.3887023003158 , Ia , 0.08794757
NGC4496A , "SN1988M" , 187.92059375000002 , 3.922786666666666 , 742.9888124129284 , 595.3248731735425 , II , 1.4810797
NGC4535 , "AT2020qwi" , 188.45333333333335 , 8.166277777777777 , 4022.7152236958814 , 1573.5537346982514 , Candidate , 0.33661184
NGC4540 , "SN2001Z" , 188.73279166666669 , 15.56875 , 248.2832050375166 , 810.5737968154358 , II , 0.14385411
