#Galaxy,Supernova,Ra,Dec,MUSE_xCoord,MUSE_yCoord,Type,MUSE_Intensity
NGC0628 , "SN2013ej" , 24.200666666666667 , 15.758611111111112 , 243.19103784243157 , 305.29329959411643 , II , nan
NGC0628 , "SN2019krl" , 24.2067875 , 15.77946388888889 , 137.18487193542887 , 680.6496794953687 , IIn/LBV , 447.33069091690675
NGC1087 , "SN1995V" , 41.61152777777777 , -0.4987861111111111 , 183.09993631014947 , 450.72004174402633 , II , 2663.371834437333
NGC1365 , "SN2012fr" , 53.40057916666666 , -36.12676944444445 , 756.0731074267953 , 702.5736600562143 , Ia , 69.29969489043229
NGC1365 , "SN2001du" , 53.3713125 , -36.142111111111106 , 1181.490382249507 , 426.35406918108174 , II , 929.5770449215998
NGC1365 , "SN1983V" , 53.381876388888884 , -36.14859166666667 , 1027.9095105186898 , 309.74396493992725 , Ic , 5743.3576143866185
NGC1365 , "SN1957C" , 53.38349999999999 , -36.11770833333333 , 1004.4155369313344 , 865.6486483514018 , unclassified , 1697.5272118916866
NGC1433 , "SN1985P" , 55.52640625 , -47.209987222222225 , 495.96858214324016 , 663.2932425397541 , II , 162.95929157157056
NGC1566 , "ASASSN-14ha" , 65.0058875 , -54.93807777777778 , 408.4277260277734 , 443.3346781401191 , II , 2555.621138465285
NGC1566 , "SN2010el" , 64.99512499999999 , -54.94402777777778 , 519.7049761982305 , 336.2325473296041 , Ia-02cx , 245.39166052538326
NGC1566 , "Gaia21fml" , 64.9725 , -54.9481 , 753.589032385391 , 262.87228040214933 , Ia , 99.65209663041514
NGC1566 , "SN2021aefx" , 64.97216666666667 , -54.94794444444444 , 757.036128912199 , 265.6708272991185 , Ia , 121.10521154138465
NGC1672 , "SN2017gax" , 71.45607916666667 , -59.24512777777778 , 350.8858701802221 , 357.13636927944447 , Ib/c , 15795.423284253668
NGC3627 , "SN1989B" , 170.05796666666666 , 13.005307777777778 , 414.2849951877572 , 1024.0738589819898 , Ia , 5377.5428576474815
NGC3627 , "SN1997bs" , 170.0592513888889 , 12.972107407407407 , 391.78429538499654 , 426.4659291754927 , IIn , 433.3893373431311
NGC3627 , "SN2016cok" , 170.07957933333336 , 12.98244948888889 , 35.22446584878894 , 612.6190565104579 , II , 1469.2646544555248
NGC3627 , "SN2009hd" , 170.07072916666667 , 12.979569444444444 , 190.45587764988682 , 560.7766574315502 , II , 11157.405782696505
NGC3627 , "SN1973R" , 170.04809375 , 12.997739999999999 , 587.4521147321097 , 887.8671026668799 , II , 3641.8359165311044
NGC4254 , "SN2014L" , 184.70291666666668 , 14.412069444444445 , 653.4148767302103 , 396.3356702200167 , Ic , 8791.528186480513
NGC4254 , "SN1986I" , 184.71690625 , 14.412266111111112 , 409.5267720414427 , 399.87155811972843 , II , 2744.9076906747837
NGC4254 , "SN1972Q" , 184.71066666666667 , 14.44432638888889 , 518.296948155805 , 976.9566086465038 , II , 1588.343437618811
NGC4254 , "SN1967H" , 184.71836111111114 , 14.41404861111111 , 384.16403203686525 , 431.95698142915336 , II , 3269.1013084182046
NGC4303 , "SN2014dt" , 185.48991666666666 , 4.471777777777778 , 251.3033408109328 , 414.26179134572914 , Ia , 570.776247869652
NGC4303 , "SN1999gn" , 185.48760972222217 , 4.462676851851852 , 292.699978860906 , 250.4445615237772 , II , 7414.512763734314
NGC4303 , "SN2006ov" , 185.48041875 , 4.487970833333334 , 421.7460350612337 , 705.7353297785496 , II , 2040.6701510337875
NGC4303 , "SN2020jfo" , 185.46016458333332 , 4.481692777777778 , 785.2060659857477 , 592.7345636458164 , II , 865.0687970124817
NGC4303 , "SN1926A" , 185.47536458333335 , 4.493354166666666 , 512.4416302807093 , 802.6354563728569 , II , 647.2625920776151
NGC4303 , "AT2021ilb" , 185.47135 , 4.469083333333334 , 584.486487082436 , 365.760978657737 , Candidate , 2437.537010823405
NGC4303 , "SN1961I" , 185.50184583333336 , 4.47037962962963 , 37.23118614092817 , 389.100086260563 , II , 2503.507698096323
NGC4303 , "SN1964F" , 185.4698125 , 4.473770833333334 , 612.0763054158263 , 450.1362898317239 , II , 230.26304785184644
NGC4321 , "SN2006X" , 185.72488194444443 , 15.809006481481482 , 653.7340413781637 , 214.79265261232624 , Ia , 192.23003479227665
NGC4321 , "SN1979C" , 185.74422222222222 , 15.797765277777778 , 318.76753840358924 , 12.450869989557305 , II , nan
NGC4321 , "SN2020oi" , 185.72892708333336 , 15.8236125 , 583.6685490767559 , 477.69842475534944 , Ic , 20132.40854565195
NGC4321 , "SN2019ehk" , 185.73393055555553 , 15.826070370370369 , 497.01876121421765 , 521.9387800195145 , Ib , 270.51022196339994
NGC4321 , "SN1901B" , 185.6970833333333 , 15.82375 , 1135.1351509168808 , 480.2301246432617 , I , 830.4634374296642
NGC4321 , "PTSS-19clju" , 185.73407 , 15.826055 , 494.6039059713586 , 521.6621063526735 , unclassified , 265.2989619893281
NGC4321 , "SN1959E" , 185.74543194444445 , 15.816989814814816 , 297.8328298271027 , 358.4935857458107 , I , 1267.1885378564093
