Supernova,InMuseSample
PS15blm,False
SN2002ap,False
SN2003gd,False
SN2013ej,False
SN2019krl,False
SN1995V,True
LSQ14dtr,False
SN1983V,True
SN1957C,True
SN2001du,True
SN2012fr,True
SN1985P,True
SN2010iv,False
Gaia21fml,False
SN2010el,True
SN2021aefx,True
ASASSN-14ha,True
SN2017gax,True
SN2008eh,False
SN2003jg,False
SN2012aw,False
SN2016cok,True
SN2009hd,True
SN1997bs,False
SN1989B,True
SN1973R,True
AT2020cwh,False
SN1986I,True
SN1972Q,True
SN2014L,True
SN1967H,True
CSS140424:122130+181827,False
SN1986E,False
SN2020jfo,True
SN2014dt,True
SN2008in,False
SN2006ov,True
SN1999gn,True
SN1964F,True
SN1926A,True
AT2021ilb,False
SN1961I,True
SN1979C,False
SN1914A,False
PTSS-19clju,False
SN1901B,True
SN1959E,True
SN2006X,True
SN2020oi,True
SN2019ehk,True
SN1988M,False
SN1960F,False
AT2020qwi,False
SN2001Z,False
AT2021dgs,False
COVET-090220F,False
PTF13bdl,False
PSNJ12364391+1416186,False
Gaia21cum,False
SN2005at,False
