Galaxy,MUSEResolution,MUSEmap
IC5332,0.87,IC5332-0.87asec_MAPS.fits
NGC0628,0.92,NGC0628-0.92asec_MAPS.fits
NGC1087,0.92,NGC1087-0.92asec_MAPS.fits
NGC1300,0.89,NGC1300-0.89asec_MAPS.fits
NGC1365,1.15,NGC1365-1.15asec_MAPS.fits
NGC1385,0.77,NGC1385-0.77asec_MAPS.fits
NGC1433,0.91,NGC1433-0.91asec_MAPS.fits
NGC1512,1.25,NGC1512-1.25asec_MAPS.fits
NGC1566,0.8,NGC1566-0.80asec_MAPS.fits
NGC1672,0.96,NGC1672-0.96asec_MAPS.fits
NGC2835,1.15,NGC2835-1.15asec_MAPS.fits
NGC3351,1.05,NGC3351-1.05asec_MAPS.fits
NGC3627,1.05,NGC3627-1.05asec_MAPS.fits
NGC4254,0.89,NGC4254-0.89asec_MAPS.fits
NGC4303,0.78,NGC4303-0.78asec_MAPS.fits
NGC4321,1.16,NGC4321-1.16asec_MAPS.fits
NGC4535,0.56,NGC4535-0.56asec_MAPS.fits
NGC5068,1.04,NGC5068-1.04asec_MAPS.fits
NGC7496,0.89,NGC7496-0.89asec_MAPS.fits
