0,1,2,3,4,5,6,7,8,9,10,11,12
3.11E+06,-30.000,-30.000,-30.000,-30.000,-30.000,-30.000,0.0,0.0,0.0,0.0,-30.000,-30.000
3.21E+06,-4.388,39.113,51.612,-4.388,39.113,51.612,9,9.7,9,9.3,-30.000,-30.000
3.31E+06,-3.308,40.193,52.727,-3.308,40.193,52.727,9,6.2,9,1.5,-30.000,-30.000
3.41E+06,-3.317,40.184,53.007,-3.317,40.184,53.007,8,8.8,8,4.8,-30.000,-30.000
3.51E+06,-3.306,40.195,53.179,-3.306,40.195,53.179,8,2.5,7,9.0,-30.000,-30.000
3.61E+06,-3.296,40.205,53.304,-3.296,40.205,53.304,7,7.0,7,3.9,-30.000,-30.000
3.71E+06,-3.266,40.235,53.408,-3.266,40.235,53.408,7,2.1,6,9.5,-30.000,-30.000
3.81E+06,-3.277,40.223,53.489,-3.277,40.223,53.489,6,7.9,6,5.5,-30.000,-30.000
3.91E+06,-3.269,40.232,53.559,-3.269,40.232,53.559,6,4.1,6,1.9,-30.000,-30.000
4.01E+06,-3.266,40.235,53.620,-3.266,40.235,53.620,6,0.7,5,8.8,-30.000,-30.000
4.11E+06,-3.269,40.232,53.672,-3.269,40.232,53.672,5,7.7,5,6.0,-30.000,-30.000
4.21E+06,-3.265,40.236,53.720,-3.265,40.236,53.720,5,5.0,5,3.5,-30.000,-30.000
4.31E+06,-3.262,40.239,53.763,-3.262,40.239,53.763,5,2.5,5,1.2,-30.000,-30.000
4.41E+06,-3.258,40.243,53.803,-3.258,40.243,53.803,5,0.3,4,9.1,-30.000,-30.000
4.51E+06,-3.255,40.246,53.839,-3.255,40.246,53.839,4,8.3,4,7.1,-30.000,-30.000
4.61E+06,-3.251,40.249,53.873,-3.251,40.249,53.873,4,6.4,4,5.4,-30.000,-30.000
4.71E+06,-3.227,40.274,53.906,-3.495,40.006,53.891,4,4.7,4,3.7,-30.000,-30.000
4.81E+06,-3.245,40.255,53.936,-30.000,-30.000,53.891,4,3.1,4,2.2,-30.000,-30.000
4.91E+06,-3.243,40.258,53.964,-30.000,-30.000,53.891,4,1.7,4,0.8,-30.000,-30.000
5.01E+06,-3.249,40.252,53.989,-30.000,-30.000,53.891,4,0.3,3,9.5,-30.000,-30.000
5.11E+06,-3.263,40.238,54.013,-30.000,-30.000,53.891,3,9.1,3,8.4,-30.000,-30.000
5.21E+06,-3.264,40.237,54.035,-30.000,-30.000,53.891,3,7.9,3,7.3,-30.000,-30.000
5.31E+06,-3.243,40.258,54.058,-30.000,-30.000,53.891,3,6.9,3,6.3,-30.000,-30.000
5.41E+06,-3.266,40.235,54.078,-30.000,-30.000,53.891,3,5.9,3,5.3,-30.000,-30.000
5.51E+06,-3.267,40.234,54.097,-3.693,39.808,53.902,3,5.0,3,4.4,-30.000,-30.000
5.61E+06,-3.267,40.234,54.115,-3.267,40.234,53.931,3,4.1,3,3.6,-30.000,-30.000
5.71E+06,-3.268,40.233,54.133,-3.268,40.233,53.957,3,3.3,3,2.8,-30.000,-30.000
5.81E+06,-3.269,40.232,54.150,-3.269,40.232,53.982,3,2.5,3,2.0,-30.000,-30.000
5.91E+06,-3.267,40.234,54.166,-3.267,40.234,54.006,3,1.7,3,1.3,-30.000,-30.000
6.01E+06,-3.267,40.234,54.182,-3.267,40.234,54.029,3,1.0,3,0.6,-30.000,-30.000
6.11E+06,-3.268,40.233,54.197,-3.268,40.233,54.050,3,0.4,3,0.0,-30.000,-30.000
6.21E+06,-3.268,40.233,54.212,-3.268,40.233,54.071,2,9.7,2,9.4,-30.000,-30.000
6.31E+06,-3.268,40.233,54.226,-3.268,40.233,54.090,2,9.1,2,8.8,-30.000,-30.000
6.41E+06,-3.269,40.232,54.240,-3.269,40.232,54.109,2,8.6,2,8.2,-30.000,-30.000
6.51E+06,-3.269,40.232,54.253,-3.269,40.232,54.126,2,8.0,2,7.7,-30.000,-30.000
6.61E+06,-3.269,40.232,54.266,-3.404,40.097,54.139,2,7.5,2,7.2,-30.000,-30.000
6.71E+06,-3.270,40.231,54.278,-30.000,-30.000,54.139,2,7.0,2,6.7,-30.000,-30.000
6.81E+06,-3.270,40.231,54.290,-30.000,-30.000,54.139,2,6.5,2,6.2,-30.000,-30.000
6.91E+06,-3.271,40.230,54.302,-30.000,-30.000,54.139,2,6.0,2,5.8,-30.000,-30.000
7.01E+06,-3.271,40.230,54.314,-30.000,-30.000,54.139,2,5.6,2,5.3,-30.000,-30.000
7.11E+06,-3.273,40.228,54.325,-30.000,-30.000,54.139,2,5.2,2,4.9,-30.000,-30.000
7.21E+06,-3.280,40.221,54.335,-30.000,-30.000,54.139,2,4.8,2,4.5,-30.000,-30.000
7.31E+06,-3.282,40.219,54.346,-30.000,-30.000,54.139,2,4.4,2,4.1,-30.000,-30.000
7.41E+06,-3.283,40.218,54.356,-30.000,-30.000,54.139,2,4.0,2,3.8,-30.000,-30.000
7.51E+06,-3.285,40.216,54.366,-30.000,-30.000,54.139,2,3.6,2,3.4,-30.000,-30.000
7.61E+06,-3.286,40.215,54.375,-30.000,-30.000,54.139,2,3.3,2,3.1,-30.000,-30.000
7.71E+06,-3.287,40.214,54.385,-30.000,-30.000,54.139,2,3.0,2,2.8,-30.000,-30.000
7.81E+06,-3.288,40.212,54.394,-30.000,-30.000,54.139,2,2.6,2,2.5,-30.000,-30.000
7.91E+06,-3.290,40.211,54.403,-30.000,-30.000,54.139,2,2.3,2,2.2,-30.000,-30.000
8.01E+06,-3.291,40.210,54.411,-30.000,-30.000,54.139,2,2.0,2,1.9,-30.000,-30.000
8.11E+06,-3.292,40.208,54.420,-30.000,-30.000,54.139,2,1.7,2,1.6,-30.000,-30.000
8.21E+06,-3.294,40.207,54.428,-30.000,-30.000,54.139,2,1.5,2,1.3,-30.000,-30.000
8.31E+06,-3.295,40.206,54.436,-30.000,-30.000,54.139,2,1.2,2,1.0,-30.000,-30.000
8.41E+06,-3.296,40.204,54.444,-30.000,-30.000,54.139,2,0.9,2,0.8,-30.000,-30.000
8.51E+06,-3.298,40.203,54.452,-30.000,-30.000,54.139,2,0.7,2,0.5,-30.000,-30.000
8.61E+06,-3.299,40.202,54.460,-30.000,-30.000,54.139,2,0.4,2,0.3,-30.000,-30.000
8.71E+06,-3.300,40.201,54.467,-30.000,-30.000,54.139,2,0.2,2,0.0,-30.000,-30.000
8.81E+06,-3.328,40.173,54.474,-30.000,-30.000,54.139,2,0.0,1,9.8,-30.000,-30.000
8.91E+06,-3.340,40.161,54.481,-30.000,-30.000,54.139,1,9.8,1,9.6,-30.000,-30.000
9.01E+06,-3.344,40.157,54.487,-30.000,-30.000,54.139,1,9.6,1,9.4,-30.000,-30.000
9.11E+06,-3.348,40.153,54.493,-30.000,-30.000,54.139,1,9.4,1,9.2,-30.000,-30.000
9.21E+06,-3.352,40.149,54.500,-30.000,-30.000,54.139,1,9.2,1,9.1,-30.000,-30.000
9.31E+06,-3.356,40.145,54.506,-30.000,-30.000,54.139,1,9.0,1,8.9,-30.000,-30.000
9.41E+06,-3.360,40.141,54.511,-30.000,-30.000,54.139,1,8.8,1,8.7,-30.000,-30.000
9.51E+06,-3.363,40.137,54.517,-30.000,-30.000,54.139,1,8.6,1,8.5,-30.000,-30.000
9.61E+06,-3.367,40.134,54.523,-30.000,-30.000,54.139,1,8.5,1,8.4,-30.000,-30.000
9.71E+06,-3.371,40.130,54.528,-30.000,-30.000,54.139,1,8.3,1,8.2,-30.000,-30.000
9.81E+06,-3.374,40.127,54.534,-30.000,-30.000,54.139,1,8.1,1,8.1,-30.000,-30.000
9.91E+06,-3.378,40.123,54.539,-30.000,-30.000,54.139,1,8.0,1,7.9,-30.000,-30.000
1E+07,-3.381,40.120,54.544,-30.000,-30.000,54.139,1,7.8,1,7.8,-30.000,-30.000
1.01E+07,-3.385,40.116,54.549,-30.000,-30.000,54.139,1,7.7,1,7.6,-30.000,-30.000
1.02E+07,-3.388,40.113,54.554,-30.000,-30.000,54.139,1,7.6,1,7.5,-30.000,-30.000
1.03E+07,-3.391,40.110,54.559,-30.000,-30.000,54.139,1,7.4,1,7.3,-30.000,-30.000
1.04E+07,-3.394,40.107,54.564,-30.000,-30.000,54.139,1,7.3,1,7.2,-30.000,-30.000
1.05E+07,-3.398,40.103,54.569,-30.000,-30.000,54.139,1,7.2,1,7.1,-30.000,-30.000
1.06E+07,-3.401,40.100,54.573,-30.000,-30.000,54.139,1,7.0,1,6.9,-30.000,-30.000
1.07E+07,-3.404,40.097,54.578,-30.000,-30.000,54.139,1,6.9,1,6.8,-30.000,-30.000
1.08E+07,-3.407,40.094,54.582,-30.000,-30.000,54.139,1,6.8,1,6.7,-30.000,-30.000
1.09E+07,-3.410,40.091,54.587,-30.000,-30.000,54.139,1,6.7,1,6.6,-30.000,-30.000
1.1E+07,-3.413,40.088,54.591,-30.000,-30.000,54.139,1,6.5,1,6.5,-30.000,-30.000
1.11E+07,-3.416,40.085,54.595,-30.000,-30.000,54.139,1,6.4,1,6.4,-30.000,-30.000
1.12E+07,-3.418,40.083,54.600,-30.000,-30.000,54.139,1,6.3,1,6.3,-30.000,-30.000
1.13E+07,-3.421,40.080,54.604,-30.000,-30.000,54.139,1,6.2,1,6.1,-30.000,-30.000
1.14E+07,-3.424,40.077,54.608,-30.000,-30.000,54.139,1,6.1,1,6.0,-30.000,-30.000
1.15E+07,-3.427,40.074,54.612,-30.000,-30.000,54.139,1,6.0,1,5.9,-30.000,-30.000
1.16E+07,-3.430,40.071,54.616,-30.000,-30.000,54.139,1,5.9,1,5.8,-30.000,-30.000
1.17E+07,-3.432,40.069,54.620,-30.000,-30.000,54.139,1,5.8,1,5.7,-30.000,-30.000
1.18E+07,-3.435,40.066,54.623,-30.000,-30.000,54.139,1,5.7,1,5.6,-30.000,-30.000
1.19E+07,-3.438,40.063,54.627,-30.000,-30.000,54.139,1,5.6,1,5.5,-30.000,-30.000
1.2E+07,-3.440,40.061,54.631,-30.000,-30.000,54.139,1,5.5,1,5.5,-30.000,-30.000
1.21E+07,-3.443,40.058,54.634,-30.000,-30.000,54.139,1,5.4,1,5.4,-30.000,-30.000
1.22E+07,-3.445,40.056,54.638,-30.000,-30.000,54.139,1,5.3,1,5.3,-30.000,-30.000
1.23E+07,-3.448,40.053,54.642,-30.000,-30.000,54.139,1,5.2,1,5.2,-30.000,-30.000
1.24E+07,-3.450,40.051,54.645,-30.000,-30.000,54.139,1,5.1,1,5.1,-30.000,-30.000
1.25E+07,-3.453,40.048,54.649,-30.000,-30.000,54.139,1,5.1,1,5.0,-30.000,-30.000
1.26E+07,-3.454,40.047,54.652,-30.000,-30.000,54.139,1,5.0,1,4.9,-30.000,-30.000
1.27E+07,-3.456,40.045,54.655,-30.000,-30.000,54.139,1,4.9,1,4.8,-30.000,-30.000
1.28E+07,-3.458,40.042,54.659,-30.000,-30.000,54.139,1,4.8,1,4.8,-30.000,-30.000
1.29E+07,-3.461,40.040,54.662,-30.000,-30.000,54.139,1,4.7,1,4.7,-30.000,-30.000
1.3E+07,-3.463,40.038,54.665,-30.000,-30.000,54.139,1,4.7,1,4.6,-30.000,-30.000
1.31E+07,-3.465,40.035,54.668,-30.000,-30.000,54.139,1,4.6,1,4.5,-30.000,-30.000
1.32E+07,-3.468,40.033,54.672,-30.000,-30.000,54.139,1,4.5,1,4.5,-30.000,-30.000
1.33E+07,-3.470,40.031,54.675,-30.000,-30.000,54.139,1,4.4,1,4.4,-30.000,-30.000
1.34E+07,-3.472,40.029,54.678,-30.000,-30.000,54.139,1,4.4,1,4.3,-30.000,-30.000
1.35E+07,-3.474,40.027,54.681,-30.000,-30.000,54.139,1,4.3,1,4.2,-30.000,-30.000
1.36E+07,-3.477,40.024,54.684,-30.000,-30.000,54.139,1,4.2,1,4.2,-30.000,-30.000
1.37E+07,-3.479,40.022,54.687,-30.000,-30.000,54.139,1,4.1,1,4.1,-30.000,-30.000
1.38E+07,-3.481,40.020,54.690,-30.000,-30.000,54.139,1,4.1,1,4.0,-30.000,-30.000
1.39E+07,-3.483,40.018,54.693,-30.000,-30.000,54.139,1,4.0,1,4.0,-30.000,-30.000
1.4E+07,-3.485,40.016,54.696,-30.000,-30.000,54.139,1,3.9,1,3.9,-30.000,-30.000
1.41E+07,-3.487,40.014,54.698,-30.000,-30.000,54.139,1,3.9,1,3.8,-30.000,-30.000
1.42E+07,-3.489,40.012,54.701,-30.000,-30.000,54.139,1,3.8,1,3.8,-30.000,-30.000
1.43E+07,-3.491,40.010,54.704,-30.000,-30.000,54.139,1,3.7,1,3.7,-30.000,-30.000
1.44E+07,-3.493,40.008,54.707,-30.000,-30.000,54.139,1,3.7,1,3.7,-30.000,-30.000
1.45E+07,-3.495,40.006,54.709,-30.000,-30.000,54.139,1,3.6,1,3.6,-30.000,-30.000
1.46E+07,-3.497,40.004,54.712,-30.000,-30.000,54.139,1,3.6,1,3.5,-30.000,-30.000
1.47E+07,-3.499,40.002,54.715,-30.000,-30.000,54.139,1,3.5,1,3.5,-30.000,-30.000
1.48E+07,-3.501,40.000,54.717,-30.000,-30.000,54.139,1,3.4,1,3.4,-30.000,-30.000
1.49E+07,-3.503,39.998,54.720,-30.000,-30.000,54.139,1,3.4,1,3.4,-30.000,-30.000
1.5E+07,-3.505,39.996,54.723,-30.000,-30.000,54.139,1,3.3,1,3.3,-30.000,-30.000
1.51E+07,-3.507,39.994,54.725,-30.000,-30.000,54.139,1,3.3,1,3.2,-30.000,-30.000
1.52E+07,-3.509,39.992,54.728,-30.000,-30.000,54.139,1,3.2,1,3.2,-30.000,-30.000
1.53E+07,-3.511,39.990,54.730,-30.000,-30.000,54.139,1,3.2,1,3.1,-30.000,-30.000
1.54E+07,-3.513,39.988,54.733,-30.000,-30.000,54.139,1,3.1,1,3.1,-30.000,-30.000
